iter	Passed	Remaining
406	7445	84019
407	7464	84012
408	7487	84045
409	7507	84051
410	7528	84061
411	7543	83998
412	7565	84030
413	7583	84000
414	7598	83954
415	7614	83903
416	7628	83843
417	7646	83820
418	7660	83758
419	7678	83734
420	7699	83746
421	7720	83755
422	7738	83737
423	7758	83730
424	7778	83736
425	7794	83692
426	7813	83677
427	7830	83651
428	7851	83657
429	7872	83672
430	7893	83682
431	7916	83709
432	7933	83680
433	7946	83606
434	7972	83664
435	7989	83628
436	8006	83595
437	8021	83544
438	8036	83499
439	8051	83443
440	8071	83437
441	8091	83442
442	8105	83375
443	8123	83360
444	8145	83381
445	8164	83363
446	8184	83366
447	8200	83324
448	8217	83294
449	8236	83275
450	8250	83221
451	8268	83201
452	8286	83175
453	8307	83184
454	8321	83120
455	8341	83118
456	8358	83090
457	8376	83074
458	8394	83048
459	8417	83079
460	8437	83075
461	8457	83074
462	8474	83038
463	8491	83013
464	8515	83053
465	8566	83352
466	8586	83344
467	8601	83291
468	8620	83279
469	8634	83224
470	8651	83191
471	8667	83144
472	8680	83083
473	8698	83054
474	8720	83071
475	8739	83065
476	8751	82986
477	8766	82933
478	8787	82940
479	8808	82951
480	8827	82936
481	8848	82943
482	8867	82923
483	8878	82844
484	8894	82804
485	8911	82770
486	8931	82763
487	8951	82764
488	8971	82760
489	8988	82729
490	9013	82777
491	9044	82874
492	9077	82981
493	9116	83152
494	9141	83200
495	9164	83219
496	9193	83295
497	9217	83324
498	9235	83304
499	9266	83396
500	9284	83375
501	9310	83420
502	9330	83414
503	9351	83421
504	9372	83420
505	9395	83449
506	9418	83463
507	9438	83460
508	9455	83428
509	9475	83418
510	9495	83413
511	9514	83398
512	9536	83414
513	9626	84020
514	9650	84044
515	9677	84094
516	9701	84126
517	9724	84139
518	9766	84320
519	9802	84454
520	9828	84493
521	9849	84494
522	9870	84490
523	9894	84519
524	9911	84482
525	9931	84473
526	9946	84424
527	9962	84379
528	9983	84378
529	10006	84392
530	10030	84417
531	10053	84435
532	10067	84374
533	10084	84342
534	10101	84304
535	10116	84251
536	10136	84240
537	10157	84239
538	10170	84176
539	10187	84141
540	10210	84154
541	10229	84138
542	10254	84166
543	10275	84168
544	10300	84199
545	10323	84214
546	10338	84162
547	10360	84167
548	10384	84195
549	10403	84175
550	10420	84136
551	10440	84128
552	10461	84129
553	10486	84160
554	10511	84185
555	10529	84157
556	10553	84183
557	10575	84190
558	10598	84198
559	10617	84179
560	10641	84202
561	10662	84197
562	10680	84172
563	10699	84154
564	10726	84198
565	10748	84199
566	10772	84219
567	10793	84220
568	10807	84160
569	10834	84201
570	10849	84153
571	10874	84184
572	10901	84222
573	10924	84237
574	10953	84293
575	10979	84331
576	11003	84344
577	11024	84343
578	11050	84380
579	11075	84400
580	11096	84397
581	11122	84428
582	11145	84438
583	11171	84476
584	11198	84514
585	11220	84514
586	11242	84519
587	11264	84525
588	11281	84489
589	11308	84527
590	11334	84560
591	11365	84625
592	11392	84664
593	11440	84862
594	11466	84893
595	11484	84862
596	11524	84992
597	11545	84990
598	11571	85021
599	11592	85014
600	11623	85077
601	11649	85108
602	11671	85110
603	11695	85122
604	11723	85167
605	11741	85134
606	11765	85149
607	11790	85167
608	11819	85221
609	11839	85206
610	11864	85225
611	11882	85194
612	11922	85323
613	11947	85341
614	11974	85379
615	12006	85451
616	12038	85517
617	12063	85535
618	12089	85565
619	12119	85620
620	12148	85664
621	12170	85661
622	12190	85646
623	12217	85677
624	12249	85747
625	12269	85726
626	12286	85695
627	12309	85692
628	12327	85667
629	12349	85662
630	12363	85601
631	12377	85543
632	12402	85566
633	12426	85576
634	12457	85630
635	12485	85670
636	12500	85622
637	12528	85654
638	12549	85647
639	12580	85702
640	12599	85681
641	12633	85755
642	12654	85746
643	12683	85792
644	12708	85806
645	12730	85801
646	12753	85802
647	12775	85798
648	12793	85769
649	12805	85701
650	12827	85693
651	12845	85663
652	12866	85649
653	12884	85621
654	12896	85546
655	12921	85563
656	12938	85525
657	12952	85471
658	12972	85453
659	12995	85453
660	13014	85432
661	13036	85429
662	13051	85377
663	13075	85383
