iter	Passed	Remaining
405	9057	102485
406	9091	102593
407	9120	102651
408	9137	102572
409	9162	102573
410	9183	102540
411	9209	102556
412	9234	102560
413	9271	102698
414	9296	102708
415	9317	102676
416	9344	102700
417	9366	102676
418	9389	102652
419	9409	102604
420	9448	102766
421	9486	102911
422	9527	103085
423	9562	103204
424	9604	103389
425	9647	103583
426	9673	103595
427	9702	103641
428	9734	103722
429	9772	103859
430	9807	103968
431	9860	104261
432	9889	104310
433	9922	104393
434	9946	104381
435	9978	104450
436	10005	104472
437	10029	104458
438	10056	104481
439	10083	104500
440	10108	104499
441	10135	104516
442	10149	104409
443	10175	104414
444	10196	104369
445	10218	104339
446	10244	104351
447	10276	104418
448	10303	104437
449	10329	104442
450	10359	104486
451	10383	104482
452	10412	104515
453	10433	104470
454	10458	104470
455	10481	104451
456	10504	104425
457	10534	104472
458	10556	104433
459	10576	104382
460	10596	104329
461	10620	104321
462	10642	104284
463	10662	104230
464	10691	104267
465	10712	104224
466	10738	104232
467	10757	104169
468	10780	104149
469	10809	104185
470	10833	104173
471	10859	104179
472	10879	104126
473	10899	104072
474	10920	104029
475	10949	104062
476	10971	104036
477	10994	104011
478	11016	103975
479	11039	103951
480	11063	103943
481	11097	104020
482	11131	104103
483	11156	104096
484	11175	104032
485	11196	103995
486	11219	103967
487	11240	103930
488	11274	104003
489	11311	104110
490	11338	104126
491	11363	104121
492	11386	104096
493	11410	104082
494	11441	104127
495	11470	104160
496	11495	104149
497	11518	104133
498	11550	104183
499	11575	104180
500	11600	104169
501	11623	104147
502	11648	104146
503	11667	104079
504	11682	103981
505	11705	103960
506	11730	103954
507	11755	103947
508	11773	103876
509	11804	103929
510	11832	103943
511	11856	103926
512	11882	103928
513	11910	103948
514	11932	103915
515	11953	103877
516	11973	103824
517	11995	103794
518	12026	103838
519	12052	103839
520	12072	103787
521	12094	103749
522	12120	103758
523	12145	103748
524	12169	103729
525	12189	103682
526	12210	103637
527	12233	103614
528	12263	103645
529	12289	103649
530	12318	103676
531	12339	103630
532	12357	103568
533	12383	103565
534	12408	103560
535	12436	103579
536	12461	103570
537	12483	103534
538	12501	103468
539	12525	103451
540	12548	103430
541	12566	103363
542	12591	103356
543	12621	103386
544	12646	103378
545	12670	103358
546	12718	103538
547	12747	103564
548	12771	103545
549	12797	103541
550	12823	103540
551	12842	103485
552	12870	103497
553	12894	103484
554	12919	103474
555	12953	103534
556	12985	103580
557	13013	103594
558	13028	103509
559	13042	103406
560	13062	103357
561	13087	103346
562	13107	103297
563	13122	103214
564	13140	103144
565	13162	103115
566	13179	103040
567	13197	102977
568	13223	102977
569	13241	102911
570	13267	102908
571	13291	102892
572	13311	102841
573	13331	102794
574	13349	102735
575	13367	102670
576	13386	102611
577	13406	102568
578	13426	102518
579	13447	102482
580	13464	102407
581	13480	102332
582	13526	102481
583	13543	102409
584	13577	102469
585	13603	102470
586	13627	102446
587	13645	102389
588	13668	102363
589	13690	102332
590	13716	102330
591	13741	102318
592	13761	102273
593	13781	102226
594	13806	102211
595	13831	102206
596	13863	102243
597	13892	102267
598	13925	102316
599	13960	102373
600	13988	102390
601	14012	102367
602	14027	102283
603	14047	102237
604	14063	102165
605	14088	102150
606	14108	102109
607	14129	102065
608	14152	102041
609	14173	102006
610	14196	101980
611	14222	101970
612	14251	101989
613	14279	102000
614	14310	102031
615	14335	102022
616	14359	102008
617	14378	101950
618	14404	101949
619	14431	101948
620	14452	101914
621	14478	101904
622	14492	101819
623	14514	101786
624	14538	101767
625	14563	101756
626	14580	101692
627	14605	101682
628	14623	101623
629	14655	101656
630	14693	101735
631	14714	101697
632	14744	101722
633	14773	101735
634	14791	101678
635	14818	101677
636	14843	101668
637	14866	101641
638	14888	101607
639	14911	101585
640	14933	101551
641	14960	101557
642	14986	101550
643	15014	101560
644	15041	101558
645	15069	101565
646	15092	101541
647	15118	101538
648	15140	101504
649	15165	101494
650	15185	101446
651	15203	101390
652	15233	101408
653	15256	101380
654	15288	101417
655	15310	101387
656	15342	101420
657	15364	101389
658	15392	101393
659	15411	101340
660	15438	101345
661	15459	101301
662	15481	101274
663	15507	101268
664	15525	101210
665	15543	101148
666	15572	101161
667	15599	101162
668	15622	101136
669	15650	101144
670	15684	101188
671	15707	101165
672	15739	101194
673	15766	101193
674	15789	101172
675	15819	101185
676	15843	101168
677	15866	101145
678	15891	101130
679	15920	101142
680	15935	101065
681	15953	101004
682	15979	100998
683	15999	100953
684	16024	100940
685	16048	100924
686	16071	100894
687	16098	100894
688	16112	100816
689	16138	100808
690	16156	100748
691	16171	100674
692	16196	100664
693	16220	100643
694	16250	100656
695	16274	100637
696	16289	100563
697	16313	100544
698	16333	100504
699	16351	100442
700	16372	100404
701	16397	100394
702	16410	100309
703	16444	100348
704	16460	100283
705	16485	100267
706	16505	100226
707	16530	100213
708	16554	100188
709	16573	100140
710	16592	100091
711	16614	100058
712	16631	100000
713	16652	99959
714	16675	99938
715	16702	99936
716	16727	99922
717	16755	99927
718	16763	99813
719	16793	99827
720	16820	99824
721	16850	99843
722	16877	99843
723	16907	99855
724	16928	99818
725	16948	99775
726	16972	99758
727	16990	99704
728	17018	99707
729	17040	99673
730	17053	99589
731	17075	99558
732	17097	99529
733	17119	99495
734	17141	99465
735	17159	99412
736	17175	99350
737	17195	99306
738	17214	99258
739	17237	99233
740	17259	99202
741	17282	99174
742	17302	99135
743	17324	99102
744	17341	99045
745	17361	99000
746	17378	98943
747	17395	98882
748	17416	98848
749	17433	98787
750	17454	98752
751	17477	98728
752	17508	98748
753	17540	98773
754	17579	98838
755	17608	98848
756	17632	98831
757	17654	98799
758	17675	98764
759	17701	98754
760	17730	98766
761	17753	98739
762	17774	98703
763	17789	98635
764	17811	98603
765	17832	98567
766	17857	98556
767	17883	98543
768	17907	98526
769	17930	98500
770	17954	98480
771	17973	98436
772	17991	98382
773	18013	98352
774	18037	98335
775	18071	98370
776	18096	98356
777	18119	98331
778	18147	98329
779	18176	98339
780	18203	98334
781	18225	98304
782	18244	98258
783	18264	98216
784	18285	98185
785	18312	98176
786	18340	98179
787	18363	98158
788	18387	98135
789	18410	98111
790	18431	98073
791	18456	98062
792	18484	98064
793	18514	98073
794	18534	98036
795	18590	98185
796	18616	98175
797	18640	98152
798	18667	98150
799	18693	98141
800	18713	98097
801	18739	98090
802	18768	98098
803	18800	98116
804	18827	98112
805	18853	98106
806	18873	98060
807	18904	98079
808	18929	98061
809	18949	98025
810	18970	97987
811	18991	97950
812	19013	97921
813	19039	97912
814	19062	97883
815	19091	97889
816	19114	97865
817	19140	97855
818	19154	97783
819	19174	97742
820	19199	97729
821	19225	97716
822	19248	97692
823	19275	97687
824	19293	97635
825	19316	97608
826	19344	97609
827	19369	97595
828	19389	97555
829	19419	97562
830	19446	97557
831	19472	97548
832	19497	97534
833	19520	97507
834	19542	97479
835	19575	97504
836	19598	97478
837	19621	97449
838	19648	97445
839	19679	97461
840	19704	97443
841	19733	97447
842	19751	97398
843	19775	97377
844	19800	97364
845	19830	97371
846	19855	97353
847	19885	97365
848	19911	97351
849	19939	97351
850	19962	97327
851	19987	97310
852	20015	97309
853	20040	97292
854	20059	97245
855	20076	97194
856	20103	97185
857	20125	97156
858	20148	97129
859	20172	97108
860	20192	97070
861	20212	97028
862	20233	96992
863	20263	97000
864	20288	96984
865	20310	96956
866	20327	96901
867	20352	96884
868	20380	96882
869	20402	96854
870	20428	96843
871	20455	96837
872	20480	96818
873	20502	96786
874	20522	96747
875	20551	96753
876	20577	96739
877	20605	96737
878	20626	96704
879	20651	96684
880	20669	96637
881	20683	96569
882	20711	96569
883	20733	96538
884	20758	96521
885	20781	96497
886	20809	96491
887	20829	96455
888	20857	96451
889	20878	96414
890	20904	96404
891	20921	96350
892	20943	96321
893	20969	96309
894	20995	96297
895	21017	96266
896	21042	96249
897	21062	96211
898	21083	96179
899	21109	96164
900	21138	96169
901	21159	96133
902	21180	96100
903	21212	96111
904	21238	96101
905	21259	96067
906	21289	96071
907	21320	96085
908	21344	96060
909	21373	96064
910	21400	96054
911	21427	96049
912	21453	96036
913	21476	96011
914	21507	96018
915	21526	95978
916	21548	95944
917	21568	95906
918	21593	95891
919	21621	95886
920	21657	95920
921	21688	95930
922	21713	95912
923	21730	95859
924	21756	95844
925	21774	95797
926	21795	95761
927	21815	95723
928	21837	95693
929	21865	95688
930	21887	95659
931	21902	95601
932	21928	95586
933	21955	95580
934	21980	95561
935	21997	95512
936	22025	95508
937	22051	95492
938	22070	95451
939	22090	95413
940	22112	95381
941	22130	95334
942	22149	95292
943	22175	95277
944	22203	95277
945	22229	95262
946	22253	95239
