sku,temperature_coef,temperature_pval,is_weekend_coef,is_weekend_pval,is_promo_coef,is_promo_pval,r_squared
SKU_01,0.4937465208828022,3.6601811725687e-20,10.561992437494487,2.1836294304848775e-28,15.393258762683047,5.842124820376084e-24,0.6734503650903308
SKU_02,0.5314420460601863,3.4314628480778147e-18,9.997715031484502,1.0899137915361984e-23,16.706615209921896,4.317874189796179e-22,0.6502165192939343
SKU_03,0.412786784310025,3.5364912806049402e-12,9.961871553270013,1.9890047795118693e-21,14.755881641094888,1.2897332785552876e-16,0.6629946102967775
SKU_04,0.3697298002923791,3.305263456087292e-11,11.025867690036346,2.467484372022855e-28,16.034265915537073,1.2081544130455696e-31,0.694299618888487
SKU_05,0.4397901704728432,2.7580831649930584e-14,9.289311511558061,2.5255564157902924e-20,15.303220313818324,7.112982220731466e-26,0.6681047859112944
SKU_06,0.4849527223868919,1.0514862065038934e-15,9.884569002093087,1.1107060797934866e-21,15.006881005549278,2.2218516210339765e-17,0.6187493889025815
SKU_07,0.45199130855882835,1.7617677830415175e-20,9.845382263248327,8.47565271684334e-31,15.219052930279787,3.523741206378975e-27,0.7358136329917613
SKU_08,0.4606143555195163,3.2229750442226656e-16,10.597121455433765,6.080714413111479e-27,14.737645781305675,7.822046481210657e-24,0.6829476708329347
SKU_09,0.4640654915359953,4.715767735026981e-15,12.349906010860686,3.892056265208314e-31,14.529567539530177,1.2358510560312714e-28,0.7301417362033987
SKU_10,0.4865906160864698,4.355118479437768e-21,10.455552252909268,9.446421859532009e-31,14.148383850694994,8.205817005546574e-25,0.7172376180898137
