iter	Passed	Remaining
410	4415	49302
411	4424	49276
412	4433	49242
413	4444	49238
414	4457	49243
415	4468	49244
416	4479	49236
417	4490	49228
418	4502	49225
419	4513	49217
420	4523	49202
421	4536	49209
422	4548	49217
423	4560	49217
424	4570	49204
425	4582	49200
426	4592	49183
427	4603	49176
428	4614	49168
429	4626	49164
430	4635	49138
431	4646	49130
432	4657	49119
433	4669	49130
434	4682	49138
435	4692	49117
436	4703	49114
437	4714	49102
438	4724	49086
439	4735	49072
440	4746	49073
441	4756	49051
442	4768	49052
443	4780	49049
444	4788	49010
445	4796	48980
446	4804	48940
447	4816	48935
448	4826	48923
449	4838	48926
450	4849	48917
451	4860	48901
452	4868	48870
453	4880	48867
454	4890	48851
455	4903	48860
456	4912	48837
457	4924	48834
458	4935	48829
459	4948	48835
460	4957	48807
461	4966	48783
462	4976	48767
463	4986	48752
464	4998	48752
465	5008	48726
466	5018	48716
467	5025	48665
468	5035	48644
469	5045	48625
470	5058	48637
471	5068	48620
472	5077	48592
473	5086	48572
474	5100	48587
475	5111	48584
476	5123	48578
477	5133	48567
478	5148	48591
479	5157	48566
480	5166	48537
481	5177	48528
482	5187	48511
483	5197	48498
484	5208	48482
485	5218	48466
486	5229	48456
487	5240	48452
488	5251	48448
489	5263	48442
490	5282	48509
491	5334	48874
492	5348	48892
493	5359	48883
494	5372	48895
495	5384	48891
496	5393	48868
497	5401	48830
498	5410	48799
499	5421	48797
500	5432	48784
501	5441	48754
502	5452	48750
503	5462	48727
504	5477	48752
505	5489	48756
506	5500	48741
507	5513	48749
508	5524	48746
509	5536	48744
510	5547	48732
511	5557	48714
512	5570	48722
513	5583	48726
514	5594	48723
515	5607	48725
516	5620	48736
517	5631	48725
518	5643	48728
519	5654	48715
520	5667	48723
521	5677	48706
522	5689	48707
523	5702	48711
524	5711	48685
525	5721	48661
526	5732	48658
527	5742	48633
528	5753	48630
529	5764	48619
530	5774	48595
531	5784	48582
532	5794	48565
533	5805	48552
534	5817	48548
535	5828	48544
536	5839	48535
537	5846	48491
538	5858	48484
539	5872	48502
540	5885	48511
541	5896	48495
542	5908	48494
543	5919	48487
544	5931	48489
545	5941	48471
546	5953	48463
547	5963	48446
548	5973	48432
549	5984	48416
550	5995	48409
551	6006	48398
552	6014	48367
553	6026	48361
554	6037	48353
555	6047	48333
556	6057	48320
557	6066	48290
558	6075	48264
559	6087	48265
560	6098	48252
561	6107	48233
562	6117	48209
563	6126	48188
564	6133	48148
565	6144	48132
566	6156	48135
567	6165	48105
568	6174	48080
569	6184	48062
570	6195	48059
571	6206	48042
572	6217	48038
573	6227	48020
574	6238	48010
575	6250	48006
576	6260	47991
577	6271	47980
578	6282	47970
579	6293	47961
580	6304	47952
581	6315	47937
582	6324	47916
583	6333	47887
584	6342	47870
585	6354	47863
586	6366	47865
587	6378	47856
588	6387	47833
589	6396	47814
590	6407	47804
591	6417	47785
592	6426	47759
593	6437	47750
594	6447	47729
595	6455	47700
596	6467	47695
597	6476	47673
598	6485	47652
599	6497	47645
600	6508	47639
601	6519	47628
602	6529	47609
603	6539	47598
604	6546	47555
605	6558	47556
606	6568	47537
607	6578	47524
608	6588	47503
609	6597	47479
610	6609	47476
611	6618	47452
612	6630	47452
613	6643	47456
614	6655	47455
615	6663	47423
616	6672	47401
617	6682	47380
618	6694	47380
619	6704	47365
620	6712	47336
621	6722	47316
622	6733	47306
623	6745	47303
624	6756	47297
625	6766	47281
626	6777	47272
627	6785	47242
628	6800	47254
629	6809	47237
630	6819	47217
631	6830	47205
632	6840	47189
633	6850	47172
634	6862	47171
635	6873	47160
636	6883	47146
637	6891	47119
638	6902	47104
639	6911	47084
640	6924	47088
641	6936	47084
642	6945	47065
643	6954	47038
644	6964	47024
645	6974	47008
646	6986	47003
647	6995	46980
648	7006	46970
649	7015	46947
650	7026	46937
651	7037	46932
652	7047	46914
653	7058	46906
654	7070	46901
655	7083	46908
656	7095	46901
657	7104	46879
658	7115	46868
659	7124	46851
660	7135	46837
661	7146	46827
662	7159	46831
663	7169	46817
664	7180	46806
665	7192	46803
666	7201	46785
667	7213	46778
668	7224	46769
669	7233	46748
670	7243	46731
671	7255	46729
672	7266	46719
673	7278	46714
674	7287	46696
675	7299	46692
676	7310	46679
677	7322	46679
678	7332	46663
679	7344	46658
680	7355	46648
681	7365	46635
682	7378	46634
683	7388	46620
684	7397	46601
685	7409	46598
686	7418	46571
687	7430	46569
688	7442	46566
689	7454	46562
690	7463	46541
691	7473	46527
692	7482	46501
693	7494	46498
694	7503	46479
695	7513	46463
696	7525	46456
697	7536	46448
698	7546	46431
699	7558	46430
700	7568	46416
701	7578	46400
702	7588	46386
703	7599	46373
704	7611	46370
705	7622	46359
706	7632	46344
707	7637	46302
708	7648	46289
709	7660	46287
710	7672	46282
711	7682	46268
712	7695	46272
713	7708	46271
714	7719	46260
715	7728	46239
716	7739	46230
717	7748	46209
718	7756	46180
719	7769	46184
720	7778	46166
721	7789	46155
722	7800	46142
723	7809	46122
724	7821	46121
725	7833	46117
726	7844	46108
727	7854	46090
728	7866	46088
729	7878	46086
730	7889	46072
731	7898	46052
732	7909	46044
733	7921	46041
734	7932	46031
735	7943	46022
736	7954	46013
737	7963	45991
738	7973	45974
739	7982	45952
740	7993	45943
741	8003	45931
742	8016	45928
743	8026	45912
744	8034	45888
745	8045	45876
746	8056	45870
747	8066	45853
748	8079	45854
749	8093	45861
750	8103	45846
751	8113	45833
752	8123	45815
753	8134	45810
754	8144	45793
755	8155	45781
756	8163	45758
757	8172	45735
758	8182	45720
759	8194	45715
760	8204	45703
761	8212	45677
762	8224	45673
763	8237	45674
764	8249	45670
765	8259	45652
766	8271	45647
767	8283	45642
768	8293	45629
769	8303	45614
770	8311	45591
771	8321	45576
772	8331	45559
773	8341	45543
774	8350	45526
775	8358	45498
776	8369	45487
777	8380	45477
778	8390	45461
779	8401	45452
780	8413	45450
781	8423	45434
782	8434	45424
783	8442	45398
784	8453	45390
785	8465	45383
786	8475	45371
787	8485	45357
788	8494	45336
789	8505	45328
790	8516	45317
791	8529	45319
792	8540	45309
793	8549	45286
794	8559	45272
795	8568	45251
796	8579	45245
797	8588	45221
798	8600	45218
799	8611	45211
800	8622	45203
801	8633	45191
802	8641	45167
803	8653	45163
804	8666	45160
805	8676	45147
806	8688	45141
807	8699	45135
808	8709	45121
809	8719	45103
810	8730	45094
811	8741	45085
812	8751	45068
813	8761	45055
814	8771	45041
815	8780	45019
816	8789	45003
817	8799	44986
818	8809	44971
819	8818	44950
820	8827	44934
821	8837	44920
822	8847	44904
823	8858	44892
824	8870	44891
825	8882	44883
826	8894	44879
827	8907	44879
828	8917	44866
829	8927	44850
830	8937	44837
831	8948	44829
832	8960	44826
833	8970	44809
834	8981	44801
835	8993	44793
836	9005	44791
837	9017	44784
838	9029	44783
839	9041	44776
840	9053	44774
841	9064	44761
842	9076	44759
843	9090	44761
844	9102	44757
845	9113	44749
846	9124	44738
847	9137	44739
848	9147	44726
849	9160	44724
850	9170	44708
851	9179	44689
852	9190	44682
853	9201	44671
854	9211	44658
855	9221	44642
856	9234	44643
857	9246	44638
858	9258	44634
859	9271	44630
860	9281	44618
861	9294	44616
862	9303	44599
863	9314	44590
864	9324	44576
865	9335	44563
866	9343	44542
867	9354	44528
868	9359	44490
869	9367	44470
870	9376	44451
871	9386	44437
872	9396	44422
873	9408	44414
874	9420	44411
875	9431	44403
876	9441	44385
877	9451	44373
878	9464	44369
879	9473	44353
880	9484	44341
881	9493	44325
882	9502	44306
883	9513	44296
884	9524	44287
885	9533	44265
886	9544	44256
