날짜,상품명,예측수량,주문량_ceil
2025-12-02,가나슈 도넛,17.922847620510012,18
2025-12-02,갈릭크림치즈 도넛,34.37742550273383,35
2025-12-02,글레이즈 도넛,63.60649217737346,64
2025-12-02,글레이즈 올드패션,18.94463692574751,19
2025-12-02,글레이즈 크론디,34.59879329337712,35
2025-12-02,누텔라 도넛,34.09896297609123,35
2025-12-02,데블스 케이크,10.685721469858727,11
2025-12-02,딸기우유 크림 도넛,42.35186391304361,43
2025-12-02,딸기필링 도넛,18.480013122691144,19
2025-12-02,럭키박스,26.95309745575534,27
2025-12-02,레몬필링 도넛,14.430539746331846,15
2025-12-02,로스트 코코넛 도넛,10.214234739047491,11
2025-12-02,롤링 소시지 도넛,15.96648738358401,16
2025-12-02,매쉬드 포테이토 도넛,38.11188670994669,39
2025-12-02,메이플 크림 롱존,10.10558106745588,11
2025-12-02,민트초콜릿 도넛,15.116388711391469,16
2025-12-02,발로나 티라미수 도넛,16.132603562341316,17
2025-12-02,버터크럼 도넛,42.862200755612875,43
2025-12-02,베어 클라우,9.960150303089296,10
2025-12-02,베이컨 메이플 롱존,9.990487873370437,10
2025-12-02,블루베리 필링 도넛,14.993916347572249,15
2025-12-02,소보로로쉐 도넛,36.48518076572143,37
2025-12-02,슈가 도넛,14.932116758981682,15
2025-12-02,슈가 크론디,11.203938601922093,12
2025-12-02,스모어 도넛,18.105008770653015,19
2025-12-02,스모크 베이컨 할라피뇨 도넛,33.89416735849565,34
2025-12-02,스프링 어니언 도넛,17.63785893236572,18
2025-12-02,시나몬 롤,17.51418990624343,18
2025-12-02,아몬드 브리틀 도넛,26.026299523678947,27
2025-12-02,애월 녹차 필링 도넛,17.274179920674356,18
2025-12-02,애플 프리터,48.41950915506756,49
2025-12-02,얼그레이 크림 앙 젤리 도넛,20.68264458859535,21
2025-12-02,연유 버터 크림 도넛,40.79419473690052,41
2025-12-02,연유 카스텔라 도넛,43.8987976193821,44
2025-12-02,오레오크림치즈도넛,18.003435110716843,19
2025-12-02,오션 바캉스 도넛,24.988262157951922,25
2025-12-02,초코크런치스트로베리 도넛,15.591566016928908,16
2025-12-02,초콜릿 도넛,25.10454378133773,26
2025-12-02,초콜릿 올드패션,22.9923272821598,23
2025-12-02,초콜릿 초코 롱존,12.709163849403062,13
2025-12-02,초콜릿 코코넛 도넛,13.44406573513972,14
2025-12-02,초콜릿 크론디,20.652909664367993,21
2025-12-02,카라멜 코코넛 도넛,11.622455406072127,12
2025-12-02,커피크럼 도넛,22.219292447071304,23
2025-12-02,코코넛 도넛,11.853313420395363,12
2025-12-02,코코라즈베리 도넛,13.442018511215348,14
2025-12-02,콘소메 크런치 트위스트,18.10037880743298,19
2025-12-02,크림사탕도넛,15.2265567163556,16
2025-12-02,타이거 테일,8.705069752584016,9
2025-12-02,텍사스 글레이즈 도넛,37.072835792288146,38
2025-12-02,피스타치오 가나슈 도넛,43.61983478285485,44
2025-12-02,핑크 스프링클 도넛,21.51954883143335,22
2025-12-03,가나슈 도넛,14.864674864865012,15
2025-12-03,갈릭크림치즈 도넛,36.584339395926136,37
2025-12-03,글레이즈 도넛,54.691097713879216,55
2025-12-03,글레이즈 올드패션,21.49795508026064,22
2025-12-03,글레이즈 크론디,39.08354068996073,40
2025-12-03,누텔라 도넛,27.580435942531153,28
2025-12-03,데블스 케이크,7.49037280520216,8
2025-12-03,딸기우유 크림 도넛,51.88312183782824,52
2025-12-03,딸기필링 도넛,15.803072849291741,16
2025-12-03,럭키박스,26.235782595350308,27
2025-12-03,레몬필링 도넛,11.381077539677712,12
2025-12-03,로스트 코코넛 도넛,7.299604080807065,8
2025-12-03,롤링 소시지 도넛,15.550999412191231,16
2025-12-03,매쉬드 포테이토 도넛,48.03409852380069,49
2025-12-03,메이플 크림 롱존,7.443684829305369,8
2025-12-03,민트초콜릿 도넛,10.238220737848266,11
2025-12-03,발로나 티라미수 도넛,16.062353829185618,17
2025-12-03,버터크럼 도넛,29.21172163999152,30
2025-12-03,베어 클라우,6.827822818839529,7
2025-12-03,베이컨 메이플 롱존,6.85816038912067,7
2025-12-03,블루베리 필링 도넛,11.172142832626282,12
2025-12-03,소보로로쉐 도넛,47.7188275165546,48
2025-12-03,슈가 도넛,12.385857248377565,13
2025-12-03,슈가 크론디,8.003839599717061,9
2025-12-03,스모어 도넛,14.043804232274901,15
2025-12-03,스모크 베이컨 할라피뇨 도넛,36.10517330115797,37
2025-12-03,스프링 어니언 도넛,15.206123350577503,16
2025-12-03,시나몬 롤,15.576004059639931,16
2025-12-03,아몬드 브리틀 도넛,19.7618683923821,20
2025-12-03,애월 녹차 필링 도넛,14.328102631959844,15
2025-12-03,애플 프리터,39.56280220561145,40
2025-12-03,얼그레이 크림 앙 젤리 도넛,26.786347747365703,27
2025-12-03,연유 버터 크림 도넛,43.08617610307923,44
2025-12-03,연유 카스텔라 도넛,61.79282033964918,62
2025-12-03,오레오크림치즈도넛,13.438009615562368,14
2025-12-03,오션 바캉스 도넛,26.727673663911034,27
2025-12-03,초코크런치스트로베리 도넛,11.855851467436572,12
2025-12-03,초콜릿 도넛,24.122779683865303,25
2025-12-03,초콜릿 올드패션,21.823699992378764,22
2025-12-03,초콜릿 초코 롱존,10.609797608928847,11
2025-12-03,초콜릿 코코넛 도넛,10.95417790875041,11
2025-12-03,초콜릿 크론디,18.471661882220626,19
2025-12-03,카라멜 코코넛 도넛,8.20869369573229,9
2025-12-03,커피크럼 도넛,18.16377871190509,19
2025-12-03,코코넛 도넛,10.83560028218674,11
2025-12-03,코코라즈베리 도넛,9.25954820594032,10
2025-12-03,콘소메 크런치 트위스트,17.67298525676783,18
2025-12-03,크림사탕도넛,11.14623479937233,12
2025-12-03,타이거 테일,5.509721087927449,6
2025-12-03,텍사스 글레이즈 도넛,37.15237039554044,38
2025-12-03,피스타치오 가나슈 도넛,42.17993523374896,43
